[WBWWBBWB|BBBWWWBB|BBWBBWBW|WWWBWBB |BBWBWBWW|WWBW WBW|WWBWBWWB|WBBBW WB,(7,6)],0.0
[W B     | WW BW W|BB   BB | BBB   B|WWB     |   W W B|   W  W |   W    ,(2,1)],0.69989693
[WBWBWWBW|BBWBB WB|WWBBWBBW|BWW BB W| WBWWW B|WBBB BBB|WBBWW   |WBWWWBWW,(0,5)],0.9966849
[        |        |        |       B|    W   |        |        |        ,(3,7)],0.15502815
[ BW  BWW|BB  W   |WB  WBB |   BWW  | W      | W    B | B  WBBW|  BBBWWW,(2,6)],0.9529201
[BW   BW | B  WB  |  B     | W   W W|   BW  W|B       |  W WBB |        ,(0,1)],0.6441025
[ WWBBBWB|WBBBWWB |WWBWBWBB|WWW BWWB|BBWBWB B|BWWBWBWW|WWBBWWBB|BWBWBBWW,(6,7)],0.99724996
[WWBBWBWB|BBWWBBW |BW W WBW|BWWWBWBW|WBB BWWB|BW BWBBB|WWBB B W| WBBWWBW,(2,0)],0.9967351
[        |        |        |        |B       |        |   W    |     W  ,(6,3)],0.011961249
[BWBWB B |BBWW WWB|WW  WB  |B B W   |W  BWW  |W  W B B|   W BWB|BWBB    ,(7,3)],0.91564256
[BB   W B|B WBBB  | WWB  WW| W B    |BB W  BW|BBW  W W| WW B   |   B WW ,(3,3)],0.96963006
[   BBB  |   B  WB|W W BWBB|W  W WB |BBB  B B|W W   W |B  BW WW|WWW     ,(2,4)],0.9182126
[ W    B |  W B   |       B|  W     |B     W |  B  W W|  B     |B  W    ,(4,0)],0.41788998
[W      B| BBW    |   B B  |B B    B| W W   B| WW WWB |       W|BW  B WW,(3,0)],0.87277496
[WWW B B |BBW   WW|WWB BBBW|W BWWW  |BB  BB W|  W BWW | BW B   |WWBB   B,(1,2)],0.9962951
[WBWWWBBW| WBWWBWB|B B WWWB|BW WBB  |BBWWBBWB|W W W BB|WBWWB B |   WWBB ,(2,6)],0.99642503
[W   B B |   B    |    B   |    W   |        |B       |W  BW   |W  W W  ,(0,0)],0.18616048
[  W W  B| BB B   |B     W | BBBWB W| W B    | WW    W|    B   | BW W W ,(2,0)],0.9572948
[     B  |W  B B  |       W|B B     |  W     |   WWW  |    B   |        ,(1,3)],0.474269
[WBWW W B| W  WB W| W  W B | WBB B  |WB WWBB |BW  B B |BBB BW W|WWW  WBB,(6,7)],0.9951849
[        |        |        |        |W       |        |        |        ,(4,0)],0.015590618
[B BWWBBW|B   B  B|BW   WW | WB  B  |WW BBW W|  B W B |   BWWWB|WBWBWWB ,(1,4)],0.995895
[BWBBW BB|  BWWB  |BB BBW W|W BWW  B|BWWWBWBW|WW B  WW|BB  WWWB|W WBBWB ,(4,2)],0.99636996
[  W  B  |      B | B  BWB | W     W|B     W |  W     |       W|     WB ,(4,6)],0.04148515
[ BW  W W|        |W  B WW |  BBB   | WWW B  |  WBB   |        | B      ,(4,2)],0.9359075
[  WW  B | W      |WWW     |BB  BB  | W      |B     BW|     WB | BW B WB,(6,6)],0.46595377
[BWWBBBWW|WBBBWWWB|WWW BBWB|BBWBWW B|BWWBW WW|WWB BBBW|WWBB WWB|BBBWWBBW,(2,1)],0.99721014
[W BWBWWB|BBWWW WB|WBWBWBBW|BWBWBBWW|BWBWWWBB|BBWW BWB|WWBB WB |BWWWB BB,(2,6)],0.996885
[ BWWBW  |BWWBBBWW|BWW  BBW|BB WW WW|WBB B W |W W  WBW| B B   B|  B  B W,(3,4)],0.996305
[WWBBBWBW|WWBWWB W|WWB  B B| B BW BB| WBWW BB| WWWBWWW|W B WBBB| W WBB B,(5,2)],0.996515
[ WBWWWBB|WWBWWBBW|BWWBBWBW|WBBWWB B|BWBWBWBB|BBBWBBBW|BWWBWWWB|WWWBWWBB,(5,5)],0.99834
[WWBW  WW|  BBB W |B WBBB  |   BWWBB|WBWW   W| WBB WBW|WB WWBW |WBWB BBB,(3,3)],0.8387675
[ W BB   |B       |  W     | WW W  B|B B     | WW     |  BB    |  W     ,(0,3)],0.46453372
[  B     |    B   |       W|        | W      |    WB  |        |        ,(0,2)],0.1255488
[  B  B  |      W |B  W B  |    W  B|   WB   |    B   | W W  W |  W    B,(4,4)],0.4469263
[BWWBWBBB|WWBWWBBB|BWWB  BW|B BBWWWB|WWBWWWBW|BBW B BB|WBWBWBWW|WBWWW BB,(5,6)],0.99706507
[W BWWWBW|WBBWB WW| BB W  B|BB BBWW |W       |WB W BWW| WBBB BW|BBWB W W,(7,7)],0.98827
[W WBW  W|WBB WBB | WBB BBW| B    WB| W W WW |   W WWW|B BWBWBB|WB BB   ,(6,3)],0.9962901
[        |     B  |        |        |        |        |        |W       ,(1,5)],0.029107755
[W WW  WW| BB B B | W  B  B|W WB WBW| W WW BB|B B B B |B  W WWB|BWWWB WB,(3,0)],0.9958251
[ BW  W  |  B WB W|B W  BWW|BB  W   |    W WB|BBWB WWW|WW B B W| B W BBB,(6,1)],0.9962851
[ WWBBBWB|  B  WBW|B BWB WB|W BWBWBB|WBW   WW|B WBW WB| WBB   W|BWWB WBW,(6,3)],0.86455745
[ BB BW W| WBWBW W|WW  WW  |  WBB  W|BB BW BB|WB W BW | WBB B W|  B  W  ,(1,1)],0.9856051
[ W WB  W|   W B W| W  WB  |B   B B |W B  W W|W       | B B    | BB     ,(3,6)],0.2553169
[   W  W |        |   B    |        |      W |     B  |   W    |    B   ,(0,6)],0.080833726
[ W      |        |        |        |        |        |      W |      B ,(6,6)],0.021650003
[BWBW  WB|B   BWW |WBWB B W|B  B  B | B W    |WW BW W | BBB   W|WB   WWW,(5,6)],0.980755
[WW  B B |BB WBBWB|B  W WBB|W   WB  |    W W | WBB BWW| B W WWB|   W    ,(5,1)],0.99621
[  B     |WWWBBW  |WW  W B | B BW BB| B   WW |  WB  BW|W  BW  W|WB W BBB,(1,5)],0.98486507
[   W BBW|BBWW WBB|WB  BBW |  B  WBB|BWWW  WW|  WW   W| BW WB  |WB BWB B,(5,3)],-0.040464997
[BWB WBBW|BWWWBBWW|W BBWBBB|BWWBWW  |BW W  B |BBW BWB |W WWB BW|  W  W B,(3,4)],0.96993506
[BBBWWBB |BWWWB WB|WWWBWBWB|BB BBW W|WWWBBWBW|WBW BBBW|WBW WWWB|BB WWBBW,(6,5)],0.99680007
[BWBBWBBW|BWWWB BW|WBWBBWWB|WBWBWBWW|BWBBWWBW|BWWW WBW|WBWBBWW |BBBWWBBB,(6,0)],0.99741995
[BWWWBWWB|WWBWBWWB|WBWBWBWB|WWBBB BW|BWBWWWBW|BWWBBWBB|WBBBWBWW|BWBWBBWB,(2,6)],1.0
[WBWWBW B|B WWB B |WWBB WWW| WWBBBWB|BB WW WW|BB BBWBB|BB BW  W|WWBBBWWW,(7,4)],0.996595
[BB W B  |WW   BWW| BB  B B|B W  W B|  WB BWB|W W W W |W  B  BB|B  W  WW,(2,5)],0.7787398
[BW    WB| WWB    |B W BWW |BBBWBB W| WWWBBW |WB WW B |B BB    |BW W W B,(5,1)],0.99617994
[BBWBBWBW|WBWBWBWB|B WWBBWW|BWBWBWBW|BWWWBWWW|WBWBWBWB|WBWWBBWB|BWBWBBBW,(6,0)],0.0
[W  B BWB|W WWBBWW|BWBWWBBB|WBB W  W|WBWB BW |BBBWBWWB|BWBWBW B|WWBWBWWB,(5,2)],0.99673
[BBB B BW|  W WWWB|WB BBB W| BB   BW|     W  | WBBWBWW|WWWB  B |WBWW   W,(6,0)],0.99417007
[W     B |B       |        |   W    |      W |B     W |        |        ,(5,6)],-0.0098325
[WBBW BW |WWW  BBB| B   W W|   W    |  BBW   |BB   B  |WW WW WW|  BB B B,(0,5)],0.97947997
[   W WB | W BW   |B  BBBW |W  BB   | B      |   BB   |WW W  WB| WWWBWB ,(2,3)],0.8794171
[ B WW BW|B W   BB|WWBB BWB| BWBWW W|WW B BBW|W WWWBBW|W B  BWB|BWWBBWBB,(7,4)],0.996515
[ WBBB  W|W   WBBB| WBWW BB|WBWBBW  | BB   WB|WW W WW | WW  B  |BB WBW B,(3,1)],0.995955
[        | W      |        |   B    |        |        |        |      W ,(1,1)],0.13092
[    BW B|   W  BB| B  BB  |     W  |   W  B |W  B  W |  W B   |  W  W W,(6,4)],0.013889688
[W       | B   W  |    W   |WB  BB  |     B B|  W B   |        |     WWW,(0,0)],0.27788317
[      B | B      |W   B   |        |B       |       W|WWB W   |  B  W W,(7,5)],0.13928314
[WWB BWWB|BWB  WW |W  WW BW|WWWB WBB|WBBB BWB|B B  W  | BW BBWB| BWBBWWW,(1,6)],0.9965151
[BWBBWWBB|BWWBWBWW|B BWWBBB|WBBWBW W|W  BWWBW|WBWBBBWW|BWWWBWBB|BWB BWWW,(1,4)],0.997155
[        |        |     W B|  W     | B    B |    B   |    W W |        ,(5,4)],0.14348188
[BBWBBWWW|WWBWWBBW|BBWBBWWB|WBWWWBBB|BWBBBW B|BBWWBWBW|BWWBBWBW|WWWBWBWW,(2,2)],1.0
[ BBWBWWB|BWWBBBWB|BB WWWB |WWWBBBW |BBBWWWBW|WBWBWB B|WBW WBWW|BWBWBBWW,(1,3)],0.99656487
[WB  WBWB| W BW BW|BB  BWWB|WWWB BWB|WWW  B B| BW    W|BW BBBW | BB WWWB,(3,7)],0.99642503
[        |      W |  W     |   B    |  W  B  |   B    |    B   |W       ,(6,4)],0.10264379
[WW WW W |WWBWW BB|WW BB WW| BB BWBB|BBBWBWW |WW W  B |BBBWWBBW| WBBBW B,(0,1)],0.996595
[  W BW  |    B   |B  WW  B|W    W W| B   WW |B      B|    WWWB|BBB     ,(0,2)],0.5955697
[ WWW WBW|BWBWBWBB|  BWW WW|WBW  BW |   B BB |BBBW   B|W WB WBB|WWWBB   ,(0,7)],0.99635
[        |B WW  WW|    W   |W  BWB  | W  BBBW| BBB    | BWW   W|WBWB B B,(4,5)],-0.025022501
[B W B W |WW   B B|   B BWW|  W   BW|  B   B |WB BW WB|W WW WB | B   WB ,(7,5)],0.005592171
[        |        |        |        |        |        |        | W      ,(7,1)],0.041669376
[BBBWBBWW|WWBBWWBW|BBWWBWWB|WBBWWWBW|WWWBBBWB|BBWWWBBB|BWWBBWW |WBBWWWBB,(0,6)],1.0
[WWWBWWB |WWBBWWBW| BWW B W| B BW BB|WBWB BB |BWBWWBBB| WBBWWWB| WBWWBWB,(6,4)],0.9964301
[ W      |        |        |  B     |        |        |        |      W ,(7,6)],0.1194369
[        |    W   |B       |        |       W|  B    B|        | W      ,(2,0)],0.11186502
[ B W  BB|W   B B |BWWB BB |W WBWW  |      BB|BWWBW B |    W  W| W     W,(5,6)],0.9902528
[    BW  | W  B B |     BB | W      |        | B     W|       W|      W ,(2,5)],0.09086188
[  BWBB  |WBWWB   |   W  B |W W W   |BWW   BW|BWB WBB |WBB   WW|BWWBBW B,(1,3)],0.9961301
[B     BB|     WW |      W |   W  W |   B    |WW   B W|B B B   |BB    WW,(0,7)],0.4534708
