[WBWWBBWB|BBBWWWBB|BBWBBWBW|WWWBWBB |BBWBWBWW|WWBW WBW|WWBWBWWB|WBBBW WB,(7,6)],0.0
[WWBW WW |  BBW BB|W BB WW | W BB B |WW WW  B|BB W  B |WB WB  B|WWBBW B ,(5,1)],0.99601996
[        |        |        |       W|        |        |     B  |        ,(6,5)],0.062163614
[WWBWBBWB|BWBWB BW|WWBB WBW|BBWWWBB |BW BWBWW|WBWBWBWB|WWWBBWBB|WBBWBWBW,(6,3)],0.99743
[BWBBWWBW|BWWWBBBW|W B W W |BWBWBWBW| BBWBB  |BWWB   B|WWW WBW |BBW  BBW,(1,6)],0.996555
[WBB BBWB|W BBW BW|  B  WWW|BWW  BWB|WWB  W B|BBBWBBWW| W  WWWB|W BW BWB,(4,0)],0.99626493
[        |        |        |        |  W     |        | W   B  |        ,(4,2)],0.008363279
[B   W WB|  WW B  |W  W WB |    B W | B W W  |B    BBB| WWB   W|BB WBWWB,(2,3)],0.92178375
[ B WWW  |BW W  B |WW  BW  |  W W  B|     BB |BBBW W  |BBWB WW | BBWB WB,(1,6)],0.9076947
[   WW   |WB      |   WB W |       B|        | W    B |    B B |      W ,(2,3)],0.18113121
[ W  B   |  B     |       B|W  BB W |    W B |W   W BW|  W     |      B ,(0,4)],0.065887526
[W B B B |W WW B B|B BB WWW| BB WB  |W  W W  |BWBB BWB|WW B BWB|W BWW W ,(6,7)],0.996415
[B   BB  |BBB     |W   WBWB|  W WBW |WB  WW W|      B | BB  W  |WW WWB  ,(7,4)],0.90553415
[  B   B |W       |W B     |BW  B BW|        | W      |B WB  W |   W    ,(3,0)],0.5067438
[BWBBWWBB|B W WWBW|BBWWBWWW|WBB BBWB|W BW WBB|BB W  BW|WBBBWW W|WBWWBB W,(0,2)],0.99677515
[ W  BB  |  B B W |W  WWBWB|   W BWW|WWWBBWBB|W WW  B |BB WW BB|BWWB   B,(0,1)],0.99641
[WW   B B|W B W B |BBWW  W | W WWB  |   W W W|BB    BB|     BBB|WWB WW B,(1,4)],0.6329388
[BB  B   |   WW   |  BW W  |W B W B |B   W BW|  WW B  |BWB W B | BBW   W,(0,4)],0.816275
[WWWBWBBW|W B BWBB|BWBBB  W|  W WBWW|W B W WB|WBBWBWW |BBWB W W|   BB WB,(1,0)],0.996405
[ W   W W| WBB WB | WB  WBW| B W   W|  B  BBB|BBB  W  |WWW  B  |W  B   W,(7,7)],0.986245
[    W   |       W|  BB WB |   B  B |B   BBW |  BBW   |BWWBW   | WWWB WW,(4,5)],0.89974034
[WB   BWB|BWWWB WW|BWBWBW B|WWWBWWW |  W W BB|WBB BBB |W B  WBW|WBBB W B,(1,3)],0.9965599
[ B  W   |W B   B |  WW B  |B  W    |        |BW    W |    B  B|  W W  B,(1,6)],0.30595744
[      W | W      |B W    W| B   W B|B   WWBB|W  B    |WWB    B|  B W   ,(5,0)],0.81668603
[        |        |        |        |        |    W   |        |        ,(5,4)],-0.0020525001
[BB BB W |B WW W W|  BBBWWW| BW  B  |WWWBBWWB|WBWWWBBB|B BBWWWB|BWB B WW,(3,5)],0.99647
[BWBWBWBW|W WBBWWW|BBWWWBBB|W WBBBWB|WWB BBWW|BW WBWWB|WBWWWBBB|BWBBWWBB,(2,1)],0.94726264
[B WWBBW |WBW BWWW|BB W BBB|W WB BBB|WBBBWWBW|BWW BWW |B B WBWW|BWWWB WB,(7,0)],0.9965296
[ W   W  |        |BBBWBW  |      B |  WW B  |B B  B  |   W  W | WB WW  ,(7,5)],0.17495038
[WWBWBWBW|BWWBBWWB|WBW WBBW|BWBBWWWB|BWBWBBBW|BBBWW WB|WB WBWBW|WBWB BBW,(0,6)],0.99733
[ BWWBBWB|BWBWBWBW|WB  WBWB| BWBW WW| WWB B W|WBB B BB|BWWBWWBW| BWWBBWW,(7,3)],0.99586505
[W WWBWBB|BBWWWB  |B W B BW|BBB  B  |WBWW WBW|W WBWB  |W W BBWB|BWBWW  B,(4,6)],0.99652016
[WW BBBWB|WB WBBWB|WWBWBWBW|BBWBWBWW|BB BWBWB|BWWW BWW| BBWWWBW|BWBWWWBB,(3,7)],0.99715996
[        | W      |        |        |        |   B    |        |W       ,(7,0)],0.11580998
[ BBWW   | WWBB  W|   WB WB| WWBWWWB| BB  B B|BWW   WW|BB    B |WBB BWW ,(2,7)],0.99332494
[BWWBWW B|WBWBBBWW|BBWBWBWB|WBBWBBWW|BWBW WBB|BWBWBWWW|WWWBWBBW|W BBWBBW,(7,4)],-0.33330005
[ WB WW  |B   W B | B   W  |WBWB   W|B    W  |BBB BWWW|B W  BBB| BW WWW ,(7,5)],0.99561995
[  WW WW |BW WB BB|BBBWWWBB| W  WBBW|WWW WWW |BB BBWBB|B BWBBW |WWBBWWB ,(0,3)],0.99649
[BBWWBBWW|WWWBWBBW| BWBWBWB|BBBWBWWB|B BWBWBB|BBBWWBW |WWWBWBWW|BWWBWBWW,(2,6)],0.9976799
[W W   BB| B WB BW|  WB WWB|  W   WB|B B  BWW|WWW BWB | BWBWB  |W WBB B ,(7,6)],0.99488
[BBBWBBB |WWBWBWWW|WWBBBWWW|BBWWWBBB|WBWBWBBW|BBWWBWWW|BWBWB BW|BWBWWBWB,(3,1)],0.998305
[B   B   |        |  B W   |B       |    W   |     W  |        |     WW ,(4,4)],0.0057934364
[  B    B|    B   |   WW W |B   B B |  BW   W|WB W  W |W   W BW| B  W B ,(2,3)],-0.017938428
[       W|  WB    | B      |        |        |        |     W  |        ,(6,5)],0.08191375
[       B| B  B  W|  BB W B|   B    |  WB   B|W  WB  W|      WW|W   W  W,(2,5)],0.6614188
[BWBWBBWW|WBWWBBBW|BBWB BWW| W WBWBB|BBWWBBWW|WBWBW W |B BWWBBW|   WBWWB,(5,0)],0.9967352
[        |        |W     W |        | BB W   |        |        |    B   ,(4,2)],0.124110006
[ WB B BW|WWB WBBB|WWBBBWWW|W W  B B|B BBBWWB|BW WWW W|BWBBW BW|  WBWW B,(4,5)],0.996515
[ WWW  WW|WBW   WW|WB  BBWB|WW WBB B|B WWBBW | BBBWWBB|BBWB BW |BWBWB WB,(4,4)],0.99654514
[BB BBBWB|BW WWWB |BW B WWW| BBWWBBW|BWWWBWBW|WWBW BBB|B WB   B|WWB WBWW,(5,7)],0.99660003
[   WW  B| W  WW  |        | B      |W B    B|   B   W|      B |        ,(4,0)],0.5371479
[ W B  W | W BWBBW|BBBW WBW|WWB  WBW|BW W    |W B WBB |WBBWBB  |BW BW WB,(7,3)],0.9955001
[BBWBWWBB|WWBW BBW|BWBWWBWW|WWB W  W|BBWWBWBB|BW  BBBW|WWBWWBWB|W BWWBBB,(3,7)],0.99682504
[      B |    BW B| B W W  |  W B   |   W    | W  B   |W    B  |       W,(1,5)],0.122114345
[    W   |  B     |  B     |        | W      |        |       W|  B     ,(1,2)],0.029507497
[       B| W     B|    BB  |BW      |  B W  W|BB W    |W BWW WW| WB   BW,(6,4)],0.7908224
[B W   B |  W     |   B   B|        |  W  W  |W    W  | B      |   W  BB,(7,6)],0.33298248
[ B W B W|     W W|W  BW   | W      |BB B  WB|B    B  | WB   B | WW W   ,(3,1)],0.76370007
[    W   |B W     |        |   B  B |B  W W  | B      |        |WWB     ,(3,3)],0.15858999
[WBWWBWBB|B  BBBWB|WWWBWWBB|W W B BW|BWBBWBBW|WB  W   |WWW WBWB|WW  BBBW,(2,5)],0.99662507
[BW  BWWW|B  BW B |W WB    | WB     |    B W |W W  BBB|WBWWWB  |    WBB ,(5,2)],0.8387375
[WB WWBBB|BW BWBWW|WBW WW B|WWBBB BB|BBBWB WB|WWBW W W|BWWBWBB | WBBWWBW,(3,3)],0.995685
[BWWBWBBW|BBWBWWBW|BBBWBBBW|WWBWBWWB|BBWWW BB|WBB BB W|WW WWWBW|BWBWWWBB,(0,5)],0.99731004
[BWWBBB B|BWBB  BW|BWWW WWW|  BWBWWB|B WWBWBB|WWB B WW|BWBBW WW|BBWWB  B,(0,3)],0.9967
[BWWB  BW|BWBBBWBB|WBBWBWWB|WWBBW WW|B WWW   |BW B BBW|WB WBWWB|BBBWWBWW,(5,3)],0.99504995
[WBB WB W|     B B|WBB  BWW|WWW  WWB|B W BBB | BW  W W| WBBWBWB|BBW WB W,(0,1)],0.99626005
[ B  B WB| WB W W | BWB  W |WBBW BBW| B   WWB|W B  B  |WW   BWB|    WW  ,(6,1)],0.995755
[WBWBWBWB|BWBBWWBB|WWBWBWWB|W WWBWW |BB BWBB |BWWBBWWW|BW BBW B|WBW WBWB,(4,4)],0.996915
[        | W    B |   W    |  B   B |W  B    | W      |  WW B  |W     BB,(4,3)],0.6056206
[    WW  | B      |  B     | W   W  |  BB    |W B  W  |        |        ,(0,5)],0.3670925
[ W   B  | W      |   B    |   B W  |        | B  W   | B  W   |     W  ,(1,1)],0.22353502
[BWBW  BW|WBBW BW |B WW BBW|W BB  B |BWWW W  |W W WW B|BWBBB  W|BWB W BB,(3,6)],0.98946
[BWBBWBBW|WWBWWBB |WB WBWBB|WWW BB  | BWWWBBW|WWBBWWW |BW W BBB|WWWBWBBB,(4,2)],0.99670506
[      B | WW  BWB|B BBW   |WW WWBW | W     W|  W B   |B    B  |B B BW  ,(1,7)],0.85806495
[W  B  W |W B   WB| BWB WBW| WB BWW |WW     B|BWBBW B |  B    W|WW WB BB,(3,1)],0.9945302
[  B WWW |WBBW   W|  W WW B|W  WWBB |  BWWBW |B     WB| BBB  BW|BB  B   ,(6,6)],0.9947151
[WB     W|  W  B W| B   W B|    BB  |     BWB|BWB  BWW|W W B   |   W    ,(1,5)],0.7210863
[        |    W   |        |        |        |        |        |        ,(1,4)],0.0014949997
[ WBBWBWW|WBBBWBWW|BWWBBBWB|WWBWWWBB|BBBWBWBW|WWBWWWBB|WBWBBBWW|BWWBWBBW,(4,7)],0.0
[        | WW   B |        |        | B      |   W   B|    W  B|        ,(6,7)],0.20772123
[BWBW BW |B B W W | W  BWB | BBBWWB |WWB B   |  W BW W|BWBBBWWW|B W WBW ,(0,6)],0.99583006
[W W    W|  WBBWWW|W  B B  |BWB  WWW|   W  B |   BBW B|BWB W W |  BB B B,(1,2)],0.99381
[   W   B|  B     |WB  W   |WB   B  | B  W  B| W W B  |        |  W    W,(2,4)],0.62498313
[B WW WW |BWWBW WB|WBW BWBW|BB BBB W|BWWBWBW |W BBWWWB|W BW WWB|BBWBBWBB,(1,1)],0.9967052
[   W   W|W     W | BBW    |B     W | B  WB  |WBW  BWB|BWBW  BB|     WWB,(0,3)],0.57951003
[B W BW B|WW WBBBW|WBB BWW |   W BW |WWBWBWBW|B W BB W|WWBBW  B| WWBB BB,(4,4)],0.99648494
[      B | B   W  |  W    W| B    BW| B      |  W   W |     B  |    W  B,(4,1)],0.13368407
[        |        |        |     W  |        |        |        |        ,(3,5)],-0.0019520314
[W WWW BB| BW BW W|BWW     |   B W  |W WBW   |BB WBWB | W B  BW|BW B  BB,(5,5)],0.9053737
[BB BBWWW|W BWBWWW|WW W BBB|BBB   WB| WWBWBBB|WBW W BW|WBBWBBBW|WB B WWW,(0,4)],0.99660003
[BWBWWWBW| BBBW WB|WBWBBB W|W WW  B |BBWWBW B|WBBBWWW | BW WBBB|W B BWWW,(3,0)],0.99638003
[  W     | WW   B |      W |W     B | B      |  W     |       B|B      B,(7,7)],0.22360003
[        |   W  B |    B   |  W     |  WB   W|    W   |   B    |WB      ,(7,0)],0.14400056
[        |     B  |        |        |        |        |    W   |        ,(1,5)],0.09370001
[ WWBBBWB|WBBBWWWB|BWBW  WB|BW W BBW|W WBWWBW|B BWBWWB|WWBBBWBW|WWBWB BB,(7,7)],0.9966
[BBWWBBBW|WBWBWBWB|WWBBWWBB|BWWWBBBW|WWBBWWBB|BBB WBWW|WWWBBWBW|WBBWBWWW,(2,4)],1.0
[W W WB W| WB B   |  B B BB|  BW B  |  W WWW |B       |  W B W |B   W   ,(4,5)],0.85216504
[   B BBW|B W   W |B    W  |   W WW |WBB  W B|W BWBB B|  B     |W WW   B,(7,7)],0.9435425
[WWBBWBWB|WWBBWBWW|BWWWBWBW|WBWB WBW| BWBBWWB|BBBWWBWB|BWBWBWWB|WBBBWBBW,(0,3)],0.9981
[B   B   |        | W      |     B  |     W  | W    W |   B    |    B  W,(0,0)],0.16726997
[     W  | W W    |      B |      B |    W B |        |        |        ,(1,3)],0.47405744
[BWBWB BW|WWWBWWW |BB W BB |W  WB BB|BBWW WW |BBWBBBWW|WBWBWB B|WW  BWBW,(1,5)],0.9964649
[W BBWBWW|WWWBBWBB|B WWWBBB|WWWBBWWW|BBBWBWBB|WWBWBBWW|BBWBWBWW|BBWWW BB,(2,3)],-0.33195
[WBBB BWB|WWB BWBB| BBBWWBW|  WBWWWB| WB B BB|BWBWBW W|W BWBBW |WW WW WW,(2,4)],0.996655
[BWWBBWWB| BWW WWW|WB WBBBW|W BB  B |WB BWWBB|BW WWW B|W BBBWWW|WBWBBBWB,(1,3)],0.99678004
[W     W |WW BWB B|BB WBWWW|WB B  B |WBW BW B| W WB BW| B   W B|W BWB WB,(4,0)],0.9498601
[BWBB WB |BWWW BWW|BWBBWBBB|W BW WWW|WW BWBBW|B BBBWBW|BWWWBWBB|W  W W B,(1,3)],0.99663496
[  W  WWB|B     BW|        | B    B | B W  W |    B   |        |W W     ,(4,3)],0.21397507
[BBWBWWBB|BWBBBWBW|BWWBBWW |WBB WB B|BWWBWB W|BBWWBWWW|WWB B WW|BWBWWWBB,(3,2)],0.99696004
[BBBWBWBW|WBWWBB W|BB WWWBB|WW BB BW|BBBWWBBB|BWWBWWWB| BWWWB W|WWWBBWBW,(3,3)],0.99691993
[        |        |    B   |    W  W|    B   |        |      W |       B,(7,7)],0.10559311
[W W B   |   WBWB |  W W   |        |   B    |        |        |B    B  ,(1,4)],0.4236743
[  W     |        | W      |        |  BB B  | BB  W W|       W|        ,(5,1)],-0.013924998
[B BB BWB|W    WB |W B    W|W  W  WB| WW WB W|WBWB WBB| WBB B B|WB WWB  ,(5,7)],0.995955
[ BWWWB W|BB BBBWW|BWWBWWBW|BWWWB B |WBWBWBWB|WBBWBBWB|BWWWBWWW|BBWBWWBB,(3,2)],0.99705493
[ WBW    | WB WW B| W W   B| B  W   |     BBB|        |       W|        ,(0,3)],0.59097725
[     B  |  W     |B    WB |   W    |    W   |   B    |   B    | W    W ,(4,4)],0.025884535
[ W      |B       |      BB| WW     |  B     |        |     BW |  W     ,(4,2)],0.161595
[ WB WWBW|BBB W WB|BW BBBWB|W WW WBW|W BB W B|B W WWW |B BW B B|WBBBWWBW,(6,7)],0.99548495
[ WWB WWB|WBW WW B|BWBBBWWW|BB  W BB|WB B BBW| BWWBWB |WWBWBB W|BBWWB WW,(2,1)],0.9960351
[BW  BBWW|W    WBW| B   WWB|WB WWB B|   W  WB|B BB B  | BWWBW  |WBB BWWW,(3,0)],0.9913799
[        |  B     |        |        |        |W      W|      B |        ,(1,2)],0.03702001
[WWWBW WW|BBW  W B|BWWW  BB|B BWB  B|WBBWBBBW|BB BBWWB| W WWBW |WW BBWWB,(5,4)],0.99655503
[      B |WB B   W|    W   |B       |  W  B  |W      W|  B     |B     W ,(4,5)],0.15783188
[ W B    | W      |B       | B  W   | W  W B |    BB W|WB      | B W   W,(6,0)],0.19805875
[BWB   W |BB B    |   BB   |B   W  W|      BW| WB W  W| BBWW   |  WW WB ,(5,2)],0.990345
[        |    B   |  B BBW | W  B  W|W   WBW |    WB W|W B     |        ,(3,7)],0.6138649
[BBWBBW B|B  W WW |BWBWW BW|WBBBWBBW|B   WW  |BW W BBW|WBBWBWWW| BWWBBW ,(6,5)],0.996435
[W BW WBW|BB BW WB|BBW W BB| WW B  B|BBW B  W|WB  WWBW| WWBBBWW|WBWWWBBB,(4,4)],0.99627006
[    W  W|  W     |        |B     BB|    W W |B  W   B|   W BWB|B     W ,(4,4)],0.5630408
[      W | W   B  |B      B|        | W B    | W      |W  W B  |   B BWW,(4,1)],0.08758251
[        |        |        |        |        | B      |        | W      ,(5,1)],0.035098743
[WBWWWBWW|BBWBWWWB|WWWBBBWW| BBWBWBB|WWBBWWBB|BBWBBBWW|BWWBWWBB|BWWWBWBB,(2,6)],0.0
[    B   |    W   |  B    B|WB      | W      |  BWBW W|W  W    |      B ,(4,1)],0.265455
[BBBW    |     B  |W   W W |    W   | BBW WB |BW  BWBB|B       |W WW WB ,(1,5)],0.7837399
[WBWBB  W|WWW WWBB|BWB  WBB| BBWWW B| BBB BBW|BW W WBW|   BBWWB|WWWBBWW ,(7,0)],0.9960699
[ BBBWW B|BBBWBWB |B WWWB W|W  BWBWW|WWB WB W|  BB WB |WBBWWBWW|BBWWWB  ,(4,0)],0.99656
[  W  BB |BW     W| B W    |B       |        |  W     |  BWB  W|W       ,(0,2)],0.2031875
[WBW BWW |BW  BB  |WBBB  W | BWWBBWB|BBW WWBW|WWWBWBWB|  BBWB W|WBBB WWW,(3,3)],0.99657506
[W  B   W|W      W| B W B  |W       | W B  B | WWB B  |B   BWW |B    BW ,(4,1)],0.9669601
[B WBBWBB|WBWB BBB|WWWBBWBW|BWBWBWWW|BW WW WB|WBWBBBWW|B WWWBBB|WWBWBBWW,(3,3)],0.997085
[BB      |  B    B|   WW B |        |        |    W  W|        |   W    ,(2,6)],0.29784065
[ BW BWWB|BW WBBWB|WWW BWBW|BBBW  BW|BBWBBB B| WWBBW W|BWBWW WW|BWBBWBWW,(3,6)],0.996665
[  W BW W| WBB W B|BBBWBB  |WW  BWWW|   W  B |WB B  BW|BWB BWBW|W       ,(6,6)],0.9616951
[   WW  B|  B BBW |W BBWWBB|WW W  WW|B BBWB B|B   WBBW|WBWWB  W| BBBWW W,(4,2)],0.996335
[B  W    |W  WW   |   B    |      B | W B    |     B B|W  W B  |        ,(0,0)],0.19306123
[W BBW WW|WBWBWBBB|WW B BWW|BBB WBWB|WB BW B |WBWBW WB|W B BBBW| WW WBW ,(4,1)],0.99656
[BW      |       W|WWBB W  |        |BW B    |  WB   W|  BB B  | W W    ,(5,2)],0.56390136
[BBWBWBBB|WW BWBBW|W WBBBWW|BBBWWWBB|WWBBBWBB|B WWWBWW|WBWBWWBB| WBWWBWW,(4,7)],0.99723995
[  B  BW |   W    |W    WW |  W   B |    B B |WBWBW   |       W| B   B  ,(3,2)],0.5042248
[B  B WWB| B  B WW|  W W  B| BW B WB|W  W   B|W  B  W |B    BW |W       ,(0,5)],0.6472639
[ W BB  B|WWW WWW |WB  B BW|BW   WBW|B  W B W| BBB B  |B  WW B |WBBWWB  ,(5,5)],0.99610996
[  BBWBB |BWWWB WW|BB WBBWW|WWBBWBW |WBBWB   |W B WB W| WWWB   |WB BB BW,(0,3)],0.99645996
[ W BW   |   W    |  B   W |B       | W    WW|W   B BB| B W   B|       B,(7,7)],0.13460499
[ BWBB WB| BW BWB |B W     |W   W WB|BBWBB  W|WB BBB W| WW W   |W W  B W,(0,4)],0.9948999
[WBWBWW W|BBWBWWWB|WBBWBBWB|BWBBWWWB|BWWW  BW|BBWBBWWB|WBBWWBBW|WWBWBBWB,(6,4)],0.99733007
[ B WB BB|BB BBWWW|WBWWW W | WW B BW|WBWWWB  |WWBB BBW| BB WW W|BWBBWBBW,(1,7)],0.99649
[WWB BBBW|BBWW  BB| W BB WB|WW WBWWW|BB W   W|BWWW   B|BWBB B B| WW B  W,(2,7)],0.9964201
[B WWB  W|W B    B|   W    |    B  W|   W B W|    B   | B  W  W|BWB WB  ,(0,2)],0.6864768
[ B WBWWB| WW  BBB| BWBWWBB| B    B | WW WW B|WBB  W  | WBWWWBW| B B    ,(2,3)],0.9955351
[BWWBWBWW|BWWWB BB|WBBBW WW|WBWBB BB|W BB BWW| BBW W B|WWBBBWW |BWWBWWBW,(2,4)],0.9968651
[        | W  B   |W     BW|W BBBW  |    W WW|B WW    |   B  BB|  B     ,(6,6)],0.74684256
[BB BBW B| BBB  B |W    W B|BWBW WBW|WBWBB W |BBWBW  W|WWW WB W| W  BWWW,(5,2)],0.996435
[ W WW W |   W BBB| B BB WB|WWW B  W| BWBB   |WB B BW |BBWWBW  | WWWB   ,(3,1)],0.9963501
[WBWWWBW |WBWB B  | BW B WB|W B WWB |WWW B  W|BBB WB B|B WBBWBW|BWBWBBWW,(5,1)],0.9964199
[W BB WBW|  BWWW W|  BB WWB| BW B  B|WBBBW   | BB W  W|  B W  W|  W     ,(2,6)],0.99408495
[WBWWWBBB|BWBWBWWW|WBBWBWBB|WBWBBWWW|BBBWWBBW|BWWBWWWB|B WWWBWB|WBBWBBWB,(2,5)],0.0
[W    B B| WBWB   |     BB |   BW   |    W  W|    WB  |     W  | B  W W ,(1,1)],-0.01984063
[        |   B    |        |        |        |  W     | W      |  B     ,(1,3)],0.1324425
[       W|W       |   B    |        |        |B W   W | B      |       B,(5,0)],0.056373756
[   W  W | W B    |        |     B B|   W    |  W     |W       |   B   B,(1,1)],0.14424498
[BB BBWWB|BWWBWW B|WBWBWBB |W B  W W| BW BWBB|WB BWBWW|BBWBBWWW|BWWWBWWB,(6,0)],0.99676
[ BWW BWW|WWB BBBW|W  W W  |B W   BW| BW   W |BW  BW  |  WW B B|  BB  BB,(5,1)],0.9946901
[  W     |BB      |B     WB|        |       B|        |W       |WW      ,(2,7)],0.03014718
[W B BBBW| BBBWBWB|W BBW   | W   W  |W    WWB|     BB | W   BWB| WWW    ,(4,7)],0.995535
[ BWWBWBW|BBWBWBWB|WWBBWBWB|BWBWBWWW|BBWBWBBW|WBWBBBW |WBBWBWWB|B WWBWWW,(7,6)],0.88549864
[   W    | WB BB  |       W|  BBW  W|WW W  B | B   B  |   B W  | WBBW W ,(3,4)],0.8811469
[WBWBWBBB|BBBWBWBW|BW WBBWW|WBWBWBWB|WBWWBWWW|BW BBWBB|WWWBBBWW|BWWBWBWB,(3,5)],0.99811506
[      W |        |        |B       |  W     |        | B      |   W    ,(4,2)],0.00892507
[W W  B W|WWWBWBBB|BBBW BWW|B W W  W|WBBB   B|BBW  BB |W WWBBWW|BBW W WB,(5,0)],0.99642503
[BBWW  WW|BWWBBBWB|B BWBWWB|W BB  B | W BB B |   W WBW|WB BWWWB| WBWBWWW,(7,5)],0.99645007
[        |        |        |        |        |      W |        |        ,(5,6)],0.0074598445
[BBWWBBWB|WWBBWWBB|WBWBWBWB|BWBBWWBW|BWB BWBW|WWWBWWBB|WBBBWBWW|WWWBBWB ,(0,1)],0.0
[  B  WB |   WW   |B W W W |  B BBWB|    BB  |     W W| B W W  |  B   WB,(6,1)],0.31554687
[        |  W    W| B B BB |        |  W     |        |        |       W,(2,3)],-0.0032366372
[      B |B   W   |  W B  B|  W  B  |  W    W| W B    |       W|      B ,(7,6)],0.5024651
[  WW    |WB   B B| BW   B |  B W W |WW  BWW |B WWWB B| B BBWB |BB  W  W,(5,5)],0.9347699
[WWWBWB B|BW   W  |BW B BW |W BWWBW |B BW WB |W    B  |BW W B W|BW  BBBW,(3,0)],0.969985
[     WB |       B| W      |       B|W   W   |B   W   | B      |        ,(1,7)],0.25768417
[BWBWB   | B  WWW | WWW WBB|WB  B  W|W  BW  B| BWBBBWW|WBB WWBW| W B  BB,(3,7)],0.97024995
[ WWWB  B|BWWBBWBB| BWBW   |     WWW|BB BWBW | B WW BB|WBBW BWB| W  BWWW,(0,2)],0.99643004
[WBWBWBBB|BWWBBBWB|BWBB WWW| WWWBBWW|BBBWWBBB|WBBWBBWW|BWW BWWW|WBWWBWWB,(7,5)],0.997705
[WBBWBWWB|WBWBWBBW|WWW BWWB|BBB WWBB|WWWBBBWB|BBWBWBWW|BWWBBBWB|WBBWWWBW,(7,1)],0.99794495
[B B   WB|WWB BB W| BWWBWWW| BWWBW B|W BW  WW|WBB B BW| B WW WB|BW B  BB,(3,1)],0.99649
[  W     |    BW  |B       |    W   |    W   |   W    |      B |   B    ,(3,4)],-0.009450002
[        |  W     | W     B|    B   |     B  |    B   | W      |  WW    ,(6,1)],0.349325
[B BWBW  |  WW WB |BWBB B  |  W  WW |WB    WW|  B   B | B B B B|     WWW,(6,1)],0.9897051
[   W W  | W WB  W|B    B  |  B   B |        |W  W  BW|     B  |W      B,(1,1)],0.3993763
[WWB W   |WBB W  W|   B BW |      W | BB    B| W B W  |  BWWB  |BW BW  B,(5,3)],0.41062123
[WWBWWBW |BWWW BBB|WW BBWWW|BBBWW BB|BWWBWBWB|WBWBBWBW|BWWWBW B|BWBWBBWB,(1,2)],0.9967898
[WWBWBWBB|BBBWBWWB|WBBWWBBW|WWWBBWWW|BBBWWBBB|WWWBBWWW|BBW WWBW|BWBBWBWB,(3,6)],1.0
[B WB BBW|W W BBB |WW W  BW|W WW WWB|BBB BBBW| W W WB |B    BWW|W BWWBBB,(7,7)],0.99607
[ BW  WBW|B BBW WB|BB  B  W|B  B B W| W  WWWB|B WW BWB| WWWBWBW|WBB BBWW,(3,5)],0.99643505
[BBWBWWWB| BWBBWWW| W WWBBB|BBWBBBWW|BBBWW W |BWW BWBB|WBWB WWW|BBW WBWB,(7,0)],0.99684495
[ B  W B |    W   |     B  | BB    W| W    W |WB      | W  BW  |WB      ,(0,4)],0.19718379
[        |      W |    WB  |    B W |        |      BW|        |        ,(3,6)],0.1551675
[      W |        |        |        |        |        |        |        ,(0,6)],0.040778443
[ WB  WBW|BBWW WBB|B  W BWB|B WBB  W| WWWBW  |BWWBWWWB|B  BW B |W W WBBB,(4,2)],0.9964
[WB WW BW|   BB   |BWBW  WB|  W W W |   BW  B| W  BBBW|        |   WB  B,(2,0)],0.11909725
[WBWWBBWW| WWBBBWB|BBBWWBBW|BWBW WWW|WBWWBBWW|B BBW WB|WBBWWBBB|B BB WWW,(5,3)],0.996995
[BWWBBB B|WWWBBWWW|WB  WWWB|BWW  BWW| BB B   |B WWWBWW|WB BBWB |BBWBBWBW,(3,2)],0.99669
[W B  W  |    WB B|      B |    B BW| W  W   |      BW|  WB B W|W       ,(1,4)],0.6115231
[BBW BBWB|WWWBWBWB|WBWBBBWW|WBBWWWBW|BWWWBWWB|WBBB BBW|WBWBWWWB|BWBWBBWB,(0,5)],0.9980901
[BBBWBWWW|WWBBBWBW|BBWBWBWW|BB BWBBB|BWWWBWWW|WBBWWBBW|WWWBWWWB|WBWBWBBB,(0,5)],1.0
[B  WB B | WW  BWB|WB B  BW|BB BWWW |BWBB WBW|BWW B W |WBWBWWWB| BWWBWWB,(6,4)],0.99465007
[WWWBB   | BW  B W|  W W B |   BW W |WBW  B  |BBW  B  |B BBWWB |BWWWBW B,(3,3)],0.9948549
[ B WWBWW|WWBW BBB|  B BBBW| W     B|WBB  WWB|BBW BBBW|W WWBWWB|B W WWBW,(0,5)],0.96987486
[  WBBB W|B  BBWWB|B WWBB W|WWWBWWW | BB WWW |BWWB BBB|WBWW WWB|WBWBBWBB,(1,6)],0.9965199
[BB    WW| B W   B| B  W  W|    WB  |W W W  B|W B  W  | BB    W| B B W  ,(0,7)],0.6329094
[BBBWWWB |WB BWBB |BBBWWW W|BWBWBW B|BWWBWBBW|WBBB WWB|WWWBWBBW|WWBWBBWW,(0,2)],0.9968699
[ BW W  B|BB WWWBB|WWB B BW|BWWB   B|W W   B | WBBB   |W W B  W|  B W  W,(7,2)],0.9958501
[B WW  BW|  W  B W|  BBW WW| WW  B B| B  WBW |B B   W |B  B  BB| W  W   ,(6,7)],0.9831475
[   W WW |BW  BWBB|WWB WW  | WWBB WW| BBWW BB|  BBB BB|BWB B WW| WWWB B ,(4,1)],0.9963751
[WB WBWBW|WW WWBWW|BB W  WB|BBB W   |BBWWWB B|WWBBB WB|BW  W B |  WBB WB,(0,1)],0.99646485
[WWBBBWBB|W WWBBW |BB BWWBW|BWWBBWWW|BBWWWBBB|WWBBBWWW|BWBWWBBW|BBWB WBW,(7,3)],0.99724007
